,actor_id,actor_movieCount,actor_ratingSum,actor_normalizedMovieRank,actor_googleHits,actor_normalizedGoogleRank,actor_normalizedRating
74,447,12,590,3.853260040283203,239000,1.6131399869918823,447
75,448,9,270,1.9782600402832031,960000,3.4731600284576416,448
76,449,18,740,3.0652201175689697,504000,2.2967801094055176,449
77,450,36,1310,2.603260040283203,657000,2.6914799213409424,450
78,451,6,260,3.2826099395751953,370000,1.9510899782180786,451
79,452,25,860,2.4086999893188477,687000,2.7688798904418945,452
80,453,4,250,5.157609939575195,0,NULL,453
81,454,14,690,3.8649098873138428,110000,1.2803399562835693,454
82,455,6,370,5.076089859008789,0,NULL,455
83,456,42,1530,2.607140064239502,560000,2.4412500858306885,456
84,457,13,400,2.0535099506378174,764000,2.967519998550415,457
85,458,11,400,2.600790023803711,539000,2.3870699405670166,458
86,459,4,240,4.9130401611328125,0,NULL,459
87,460,8,340,3.201090097427368,249000,1.6389299631118774,460
88,461,8,340,3.201090097427368,247000,1.6337699890136719,461
89,462,15,520,2.4347798824310303,534000,2.3741700649261475,462
90,463,9,390,3.2826099395751953,204000,1.5228400230407715,463
91,464,8,370,3.567929983139038,85100,1.2161099910736084,464
92,465,13,460,2.5050199031829834,485000,2.247760057449341,465
93,466,13,590,3.4832799434661865,96200,1.2447400093078613,466
94,467,8,280,2.4673900604248047,473000,2.2167999744415283,467
95,468,4,230,4.668479919433594,0,NULL,468
96,469,14,630,3.445650100708008,68800,1.1740599870681763,469
97,470,6,340,4.5869598388671875,0,NULL,470
98,471,10,400,2.9565200805664062,234000,1.6002399921417236,471
99,472,6,170,1.8152199983596802,667000,2.7172799110412598,472
100,473,7,210,1.9782600402832031,584000,2.503159999847412,473
101,474,16,480,1.9782600402832031,570000,2.4670400619506836,474
102,475,4,220,4.423910140991211,0,NULL,475
103,476,4,220,4.423910140991211,0,NULL,476
104,477,10,420,3.152169942855835,102000,1.2597099542617798,477
105,478,14,570,3.026400089263916,148000,1.3783799409866333,478
106,479,20,790,2.9076099395751953,193000,1.4944700002670288,479
107,480,14,450,2.18789005279541,462000,2.188430070877075,480
108,481,17,550,2.208440065383911,452000,2.162630081176758,481
109,482,21,780,2.6770200729370117,268000,1.6879500150680542,482
110,483,5,270,4.326089859008789,0,NULL,483
111,484,5,270,4.326089859008789,0,NULL,484
112,485,17,660,2.8414299488067627,180000,1.4609299898147583,485
113,486,12,500,3.119570016860962,57800,1.1456799507141113,486
114,487,13,370,1.8277599811553955,549000,2.412869930267334,487
115,488,9,350,2.847830057144165,149000,1.3809599876403809,488
116,489,7,370,4.214290142059326,0,NULL,489
117,490,12,480,2.9565200805664062,84800,1.2153300046920776,490
118,491,10,340,2.369570016860962,310000,1.7963000535964966,491
119,492,20,740,2.6630399227142334,192000,1.4918899536132812,492
120,493,15,460,2.0434799194335938,430000,2.105870008468628,493
121,494,8,310,2.834239959716797,109000,1.2777600288391113,494
122,495,10,350,2.4673900604248047,238000,1.6105600595474243,495
123,496,8,290,2.589669942855835,184000,1.471250057220459,496
124,497,11,370,2.3339900970458984,278000,1.7137500047683716,497
125,498,22,830,2.734189987182617,117000,1.2984000444412231,498
126,499,6,230,2.7934799194335938,92500,1.235200047492981,499
127,500,11,370,2.3339900970458984,267000,1.6853699684143066,500
128,501,9,300,2.304349899291992,262000,1.672469973564148,501
129,502,4,200,3.9347798824310303,0,NULL,502
130,503,4,200,3.9347798824310303,0,NULL,503
131,504,9,210,1.3260899782180786,610000,2.570230007171631,504
132,505,9,240,1.652169942855835,471000,2.2116498947143555,505
133,506,9,210,1.3260899782180786,595000,2.5315399169921875,506
134,507,22,750,2.378459930419922,185000,1.473829984664917,507
135,508,7,270,2.816770076751709,14300,1.033460021018982,508
136,509,6,190,2.1412999629974365,271000,1.6956900358200073,509
137,510,25,740,1.9391299486160278,349000,1.8969099521636963,510
138,511,8,300,2.7119600772857666,12300,1.0283000469207764,511
139,512,5,240,3.7391300201416016,0,NULL,512
140,513,5,240,3.7391300201416016,0,NULL,513
141,514,17,530,2.0933499336242676,235000,1.6028200387954712,514
142,515,4,190,3.6902201175689697,0,NULL,515
143,516,4,190,3.6902201175689697,0,NULL,516
144,517,9,280,2.0869600772857666,229000,1.587339997291565,517
145,518,5,180,2.5652201175689697,38100,1.0948599576950073,518
146,519,11,350,2.156130075454712,193000,1.4944700002670288,519
147,520,8,260,2.222830057144165,165000,1.4222300052642822,520
148,521,6,160,1.652169942855835,377000,1.9691499471664429,521
149,522,7,250,2.5372700691223145,24500,1.0597699880599976,522
150,523,15,340,1.2608699798583984,509000,2.3096799850463867,523
151,524,5,230,3.5434799194335938,0,NULL,524
152,525,7,230,2.2577600479125977,111000,1.282920002937317,525
153,526,10,350,2.4673900604248047,28100,1.06905996799469,526
154,527,23,720,2.1058599948883057,160000,1.4093300104141235,527
155,528,24,710,1.9375,221000,1.5666999816894531,528
156,529,11,380,2.422919988632202,14500,1.0339800119400024,529
157,530,4,180,3.445650100708008,0,NULL,530
158,531,4,180,3.445650100708008,0,NULL,531
159,532,4,180,3.445650100708008,0,NULL,532
160,533,4,180,3.445650100708008,0,NULL,533
161,534,7,240,2.397520065307617,13500,1.0313999652862549,534
162,535,17,540,2.150899887084961,105000,1.267449975013733,535
163,536,16,380,1.3668500185012817,408000,2.0491199493408203,536
164,537,9,300,2.304349899291992,34700,1.0860899686813354,537
165,538,9,230,1.5434800386428833,302000,1.7756600379943848,538
166,539,10,330,2.271739959716797,17900,1.0427500009536743,539
167,540,13,380,1.9030100107192993,157000,1.4015899896621704,540
168,541,7,230,2.2577600479125977,17300,1.041200041770935,541
169,542,10,320,2.173909902572632,46700,1.1170400381088257,542
170,543,9,290,2.195650100708008,28900,1.071120023727417,543
171,544,5,160,2.173909902572632,29100,1.0716400146484375,544
172,545,6,140,1.3260899782180786,341000,1.876270055770874,545
173,546,8,220,1.7337000370025635,168000,1.4299700260162354,546
174,547,11,330,1.9782600402832031,72600,1.183859944343567,547
175,548,5,210,3.152169942855835,0,NULL,548
176,549,5,210,3.152169942855835,0,NULL,549
177,550,5,210,3.152169942855835,0,NULL,550
178,551,33,950,1.8596800565719604,101000,1.2571300268173218,551
179,552,8,230,1.8559800386428833,101000,1.2571300268173218,552
180,553,10,300,1.9782600402832031,43200,1.1080199480056763,553
181,554,20,540,1.6847800016403198,154000,1.3938499689102173,554
182,555,14,400,1.8385100364685059,90700,1.2305500507354736,555
183,556,9,230,1.5434800386428833,195000,1.4996299743652344,556
184,557,4,160,2.9565200805664062,0,NULL,557
185,558,4,160,2.9565200805664062,0,NULL,558
186,559,4,160,2.9565200805664062,0,NULL,559
187,560,4,160,2.9565200805664062,0,NULL,560
188,561,4,160,2.9565200805664062,0,NULL,561
189,562,5,200,2.9565200805664062,0,NULL,562
