,act_movie_count,act_movie_ratingSum,act_movie_normalizedMovieRank,act_mean_movie_googleHits,act_mean_movie_normalizedGoogleRank,act_mean_movie_normalizedRating,dir_movie_count,dir_movie_ratingSum,dir_movie_normalizedMovieRank,dir_mean_movie_googleHits,dir_mean_movie_normalizedGoogleRank,dir_mean_movie_normalizedRating,hitflop
101,17.75,772.5,3.1888575553894043,404400.0,2.039832502603531,3.41005504131317,3.0,80.0,1.473680019378662,95800.0,1.704200029373169,1.59905004501343,3
102,10.0,287.5,1.4554024934768677,706000.0,2.568752557039261,2.6160349845886226,0.0,0.0,0.0,0.0,0.0,0.0,1
103,26.5,957.5,1.8009250164031982,805000.0,2.8241499960422516,2.958517491817475,0.0,0.0,0.0,0.0,0.0,0.0,2
104,11.75,542.5,2.509997546672821,607625.0,2.314962536096573,3.0724375247955327,0.0,0.0,0.0,0.0,0.0,0.0,2
105,9.25,215.0,0.9884524941444397,253100.0,1.4003699719905853,1.68401250243187,0.0,0.0,0.0,0.0,0.0,0.0,1
106,14.0,665.0,2.6991100907325745,318750.0,1.5697300136089325,2.755490005016325,3.0,240.0,5.263160228729248,68900.0,1.503909945487976,5.26122999191284,5
107,21.5,867.5,2.2000675201416016,406750.0,1.796752542257309,2.6004574894905077,11.0,670.0,3.9066998958587646,622000.0,5.622029781341553,4.74078989028931,2
108,15.5,577.5,1.7046250104904175,334675.0,1.6108149886131287,2.212119996547697,3.0,70.0,1.236840009689331,1710.0,1.0036499500274658,1.23087000846863,2
109,12.5,385.0,2.005852520465851,622000.0,2.352049946784973,2.9137675464153303,0.0,0.0,0.0,0.0,0.0,0.0,2
110,5.5,187.5,0.5946149826049805,46250.0,0.36845749616622925,0.6564000248909,5.0,130.0,1.42631995677948,22800.0,1.1606700420379639,1.44660997390747,1
111,7.25,272.5,1.3722825050354004,124700.0,0.819982498884201,1.4644724726676925,3.0,140.0,2.894740104675293,1480.0,1.0019400119781494,2.84984993934631,6
112,7.0,317.5,2.2173900604248047,878250.0,3.0131175220012665,3.303572595119477,0.0,0.0,0.0,0.0,0.0,0.0,2
113,23.0,1050.0,3.5555975437164307,1445250.0,4.7249950766563416,5.1494250297546404,0.0,0.0,0.0,0.0,0.0,0.0,2
114,1.0,20.0,0.25,0.0,0.0,0.25,3.0,60.0,1.0,64400.0,1.4704099893569946,1.09071004390717,1
115,12.75,452.5,2.3673699498176575,389600.0,2.001652479171753,2.92010498046875,8.0,250.0,1.799340009689331,24800.0,1.175570011138916,1.81386005878448,2
116,9.5,330.0,2.2860299944877625,33500.0,0.584707498550415,2.066189974546435,0.0,0.0,0.0,0.0,0.0,0.0,1
