,director_id,director_movieCount,director_ratingSum,director_normalizedMovieRank,director_googleHits,director_normalizedGoogleRank,director_normalizedRating
84,85,3,80,1.4736800193786619,6560,1.0397599935531616,1.4692499637603798
85,86,8,210,1.4440799951553345,25900,1.1837600469589231,1.46845996379852
86,87,9,230,1.3947399854660034,57600,1.4197800159454346,1.46638000011444
87,88,3,80,1.4736800193786619,4190,1.0221099853515625,1.46580004692078
88,89,4,100,1.3552600145339966,71100,1.5202900171279907,1.44746005535126
89,90,5,130,1.42631995677948,22800,1.160670042037964,1.44660997390747
90,91,5,130,1.42631995677948,13800,1.0936599969863892,1.43351995944977
91,92,6,150,1.3552600145339966,35100,1.2522499561309814,1.39509999752045
92,93,4,100,1.3552600145339966,1780,1.0041699409484863,1.34662997722626
93,94,4,90,1.1776299476623535,96200,1.7071800231933594,1.31046998500824
94,95,5,120,1.284209966659546,5370,1.0309000015258791,1.28245997428894
95,96,3,70,1.236840009689331,13900,1.0944099426269531,1.2486000061035198
96,97,6,130,1.1184200048446655,93300,1.6855800151824951,1.2484099864959701
97,98,3,70,1.236840009689331,3150,1.0143699645996094,1.23295998573303
98,99,3,70,1.236840009689331,3100,1.0140000581741333,1.2328900098800701
99,100,3,70,1.236840009689331,2300,1.0080399513244631,1.2317199707031201
100,101,4,90,1.1776299476623535,41500,1.2999099493026731,1.2309099435806299
101,102,3,70,1.236840009689331,1710,1.0036499500274658,1.23087000846863
102,103,4,90,1.1776299476623535,29400,1.2098100185394287,1.2133100032806399
103,104,7,180,1.4060200452804563,0,0.0,1.20003998279572
104,105,6,130,1.1184200048446655,6430,1.0387899875640871,1.1220699548721298
105,106,6,130,1.1184200048446655,4020,1.0208499431610107,1.1185599565506001
106,107,3,60,1.0,64400,1.4704099893569946,1.09071004390717
107,108,3,60,1.0,52400,1.381060004234314,1.0732599496841402
108,109,3,60,1.0,51200,1.372130036354065,1.07151997089386
109,110,3,60,1.0,45900,1.332669973373413,1.06380999088287
110,111,3,60,1.0,39500,1.2850099802017212,1.05449998378754
111,112,3,60,1.0,29700,1.212049961090088,1.0402400493621802
112,113,3,60,1.0,14800,1.1011099815368652,1.01856994628906
113,114,3,60,1.0,9930,1.0648499727249146,1.01148998737335
114,115,3,60,1.0,6710,1.0408799648284912,1.00680994987488
115,116,3,60,1.0,4380,1.0235300064086914,1.00341999530792
116,117,4,80,1.0,2420,1.008929967880249,1.00057005882263
117,118,3,60,1.0,2030,1.0060299634933472,1.0
